Digikey,,,,,,,,
,Part,Part #,Quantity,Unit Price,Total Price,Link,Total:,$140.42
20x4 character OLED display,DISPLAY OLED CHAR 4X20 BLU,NHD-0420DZW-AB5-ND,1,$30.90,$30.90,https://www.digikey.com/product-detail/en/newhaven-display-intl/NHD-0420DZW-AB5/NHD-0420DZW-AB5-ND/4073854,,
Arduino Uno,ARDUINO UNO SMD REV3,1050-1041-ND,1,$22.00,$22.00,https://www.digikey.com/product-detail/en/arduino/A000073/1050-1041-ND/3476357,,
Project Box,"BOX ABS GRAY 6.54""L X 4.94""W",HM1110-ND,1,$10.96,$10.96,https://www.digikey.com/product-detail/en/hammond-manufacturing/RP1245/HM1110-ND/2094848,,
Red Pushbutton,SWITCH PUSH SPST-NO RED 10MA 5V,1528-2316-ND,1,$2.50,$2.50,https://www.digikey.com/product-detail/en/adafruit-industries-llc/3489/1528-2316-ND/7349495,,
Blue Pushbutton,SWITCH PUSH SPST-NO BLU 10MA 5V,1528-2317-ND,1,$2.50,$2.50,https://www.digikey.com/product-detail/en/adafruit-industries-llc/3490/1528-2317-ND/7349496,,
Potentiometer,POT 10K OHM 1/20W CARBON LINEAR,PTR901-2015K-B103-ND,2,$3.04,$6.08,https://www.digikey.com/product-detail/en/bourns-inc/PTR901-2015K-B103/PTR901-2015K-B103-ND/3534255,,
Potentiometer knob,GTE KNOB - SMALL,1568-1606-ND,2,$0.95,$1.90,https://www.digikey.com/product-detail/en/sparkfun-electronics/COM-11951/1568-1606-ND/7229876,,
BNC connectors,CONN BNC JACK STR 50 OHM SOLDER,A97548-ND,4,$1.60,$6.40,https://www.digikey.com/product-detail/en/te-connectivity-amp-connectors/5-1634523-1/A97548-ND/1755935,,
USB jack,CABLE USB B FEMALE TO B MALE,1528-1570-ND,1,$3.95,$3.95,https://www.digikey.com/product-detail/en/adafruit-industries-llc/907/1528-1570-ND/5844684,,
DC jack,CONN PWR JACK 2X5.5MM SOLDER,CP-011A-ND,1,$1.55,$1.55,https://www.digikey.com/product-detail/en/cui-inc/PJ-011A/CP-011A-ND/305540,,
2 channel DAC with latch,IC DAC 12BIT DUAL W/SPI 14DIP,MCP4922-E/P-ND,1,$2.78,$2.78,https://www.digikey.com/product-detail/en/microchip-technology/MCP4922-E-P/MCP4922-E-P-ND/716251,,
12V power supply,AC/DC DESKTOP ADAPTER 12V 12W,102-3667-ND,1,$16.35,$16.35,https://www.digikey.com/product-detail/en/cui-inc/SDI12-12-UDC-P5/102-3667-ND/5417920,,
USB cable,CABLE USB A TO B MALE FERRITE 2M,1175-1093-ND,1,$3.95,$3.95,https://www.digikey.com/product-detail/en/cnc-tech/102-1030-BE-F0200/1175-1093-ND/3064824,,
Wires - 22AWG solid core for breakout jumpers,HOOK-UP SOLID 22 AWG BLACK 25',1568-1569-ND,1,$2.50,$2.50,https://www.digikey.com/product-detail/en/sparkfun-electronics/PRT-08022/1568-1569-ND/6833928,,
Arduino Protoboard,PROTO SHIELD ARDUINO STACK V.R3,1528-1207-ND,1,$9.95,$9.95,https://www.digikey.com/product-detail/en/adafruit-industries-llc/2077/1528-1207-ND/5353667,,
Pot to ADC bypass cap - 20ms step response - reduce impedance,CAP CER 0.22UF 50V X7R RADIAL,445-173377-1-ND,2,$0.29,$0.58,https://www.digikey.com/product-detail/en/tdk-corporation/FG24X7R1H224KNT06/445-173377-1-ND/5811982,,
Power and Vref bypass cap,CAP CER 0.1UF 50V Y5V RADIAL,BC1160CT-ND,3,$0.19,$0.57,https://www.digikey.com/product-detail/en/vishay-bc-components/K104Z15Y5VF5TL2/BC1160CT-ND/286782,,
Power bypass cap,CAP TANT 10UF 10% 25V RADIAL,478-10753-1-ND,3,$0.78,$2.34,https://www.digikey.com/product-detail/en/avx-corporation/TAP106K025SRW/478-10753-1-ND/7536271,,
Power bypass cap,CAP TANT 100UF 6.3V 10% RADIAL,478-1844-ND,2,$2.64,$5.28,https://www.digikey.com/product-detail/en/avx-corporation/TAP107K006SCS/478-1844-ND/563947,,
"1x40 0.100"" header pins","CONN HEADER 40POS .100"" SGL GOLD",SAM1033-40-ND,1,$4.76,$4.76,https://www.digikey.com/product-detail/en/samtec-inc/TSW-140-07-S-S/SAM1033-40-ND/1101487,,
"1x3 Female header 0.100""","CONN HEADER FEMALE 3POS .1"" GOLD",S7036-ND,3,$0.37,$1.11,https://www.digikey.com/products/en?keywords=S7036-ND,,
"1x4 Female header 0.100""","CONN HEADER FEMALE 4POS .1"" GOLD",S7037-ND,1,$0.47,$0.47,https://www.digikey.com/product-detail/en/sullins-connector-solutions/PPPC041LFBN-RC/S7037-ND/810176,,
DC plug for Arduino,CONN PWR PLUG 2.1X5.5MM SOLDER,CP3-1000-ND,1,$1.04,$1.04,https://www.digikey.com/product-detail/en/cui-inc/PP3-002A/CP3-1000-ND/992136,,